ID,Case Number,Date,Latitude,Longitude
4846771,HM456408,03/28/2003 09:00:00 AM,41.88222302,-87.70369622
4966766,HM579540,10-01-2001 00:01,41.8962257,-87.73582983
4968716,HM575028,12/19/2004 08:30:00 AM,,
4969833,HM583619,06-02-2004 00:00,,
4970681,HK232041,03-10-2004 18:50,,
4971109,HM582696,07-01-2004 12:00,,
4851159,HM464949,01/29/2003 11:00:00 AM,41.9399919,-87.72819901
4852398,HM466123,07-03-2003 12:00,41.87711147,-87.72371431
4973044,HM575112,05/23/2004 10:51:00 AM,,
4973265,HM583852,09-10-2002 08:00,,
4973683,HM585438,07/13/2004 12:01:00 AM,,
4974129,HM582876,08/26/2001 09:00:00 AM,41.77518603,-87.637211
4974200,HM584690,01/31/2004 09:00:00 AM,,
4975815,HM588600,01-01-2004 00:00,,
4976040,HM588608,02-01-2001 00:00,41.81180459,-87.7465962
4977230,HM590375,09/18/2004 05:00:00 PM,,
4979707,HK493788,07/13/2004 08:46:00 PM,,
4979526,HM590100,11-01-2001 00:01,41.8116148,-87.70150133
4979650,HM593091,09-10-2004 12:00,,
4979680,HM593162,09-10-2001 00:01,41.78213622,-87.68631452
4979704,HK230682,03-10-2004 07:33,,
4979711,HK424697,06-11-2004 19:28,,
4860969,HM468183,10-01-2003 12:00,41.7714916,-87.58853868
4981903,HM594431,06-01-2001 09:00,41.78346742,-87.64663984
4981997,HM591164,02-04-2004 09:00,,
4982394,HM594611,11-01-2004 08:00,,
4985407,HK665884,10-04-2004 16:37,,
4988373,HM599739,07-01-2004 00:00,,
4989983,HM600469,08-01-2001 12:00,41.79786436,-87.76475231
4991319,HM601363,09/13/2002 12:00:00 PM,,
4991465,HM602607,01-01-2001 12:00,42.00167862,-87.66060418
4991998,HM602975,08-01-2004 09:00,,
4993297,HM604761,09/30/2004 12:00:00 AM,,
4994605,HM607304,02-06-2004 12:00,,
4873361,HM482943,01/15/2003 08:00:00 AM,41.7524469,-87.63677876
4997248,HM608763,01-01-2002 09:00,,
4998136,HM610002,01-05-2004 12:00,,
4877076,HM490341,05-01-2003 08:00,41.69069808,-87.62885226
4999584,HM610675,01-01-2004 16:00,,
4999738,HM610951,09/19/2002 08:00:00 AM,,
4878107,HM491806,01/26/2003 12:01:00 AM,41.90548697,-87.68465178
5008159,HK338208,05-02-2004 12:26,,
5008165,HK354291,05-10-2004 08:59,,
5009607,HM618137,10-04-2004 13:00,,
5009920,HM619494,08/27/2002 12:01:00 AM,,
5011031,HM618576,01-01-2002 00:01,,
5011366,HM621526,01-01-2004 00:01,,
5011478,HM621542,11/20/2004 02:00:00 PM,,
5012534,HM622387,08-01-2004 00:01,,
5014886,HM622084,10-01-2003 00:01,,
5016141,HM618471,01-01-2001 09:00,41.92127842,-87.77577636
5018820,HM626502,06-09-2001 20:00,41.94291721,-87.72715318
